Type	Subtype	Name	Price	Armor/Shield  Bonus	Max Dex Bonus	Armor Check Penalty	Arcane Spell Failure Chance	Speed  30 ft.	Speed  20 ft.	Weight	Capacity	Usage	Construction	Description
Armor	Light	Scatterlight suit (orange)	6000 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 31; Cost 3000 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +8</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (prismatic)	12000 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 32; Cost 6000 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +9</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (red)	1400 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 29; Cost 700 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +6</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Scatterlight suit (white)	200 gp	1	8	-1	5	30	20	5	24	1 charge/hour	Craft DC 26; Cost 100 gp, craft technological arms and armor, military lab	<p><b>Bonus to touch AC when active:</b> +3</p><p>A scatterlight suit is a tight, form-fitting suit of highly reflective polymers and synthetic metal fibers. It's designed to reflect beam weapon attacks, and provides only minimal protection against physical damage. Activating a scatterlight suit is a standard action; once activated, the suit diffuses and blurs light reflected from its surface, making the wearer appear hazy and indistinct.</p><p>While active, a scatterlight suit increases the wearer's touch AC by a variable amount—this bonus is an armor bonus, but does not increase the wearer's normal or flat-footed AC beyond the scatterlight suit's baseline armor bonus of +1. This bonus to touch AC only applies to attacks made by beam weapons and rays—it does not provide additional protection to other touch attacks.</p>
Armor	Light	Smart armor (compact form)	16500 gp	4	4	-2	25	30	20	20	60	1 charge/10 minutes	Craft DC 28; Cost 14,00 gp, craft technological arms and armor, military lab	<p>While inactive, smart armor resembles a breastplate of adamantine scales, which doesn't seem out of place among most metal armor, except for its alien aesthetics. When activated as an immediate action, smart armor expands to cover the wearer's legs and limbs, and a built-in magnetic generator hardens the armor into a rigid, plate-like form. When in this form, it uses the statistics of smart armor (expanded form). It can be collapsed back to breastplate form with a move action, and automatically retracts when it loses power. In either form, smart armor provides DR 2/— due to its adamantine construction. Smart armor is considered masterwork armor.</p>
Armor	Medium	HEV suit	61000 gp	4	3	-4	40	20	15	20	25	1 charge/hour	Craft DC 28; Cost 30,500 gp, craft technological arms and armor, production lab	"<p>Short for ""hazardous environment,"" an HEV suit provides protection from radiation, disease, poisonous gas, cold, heat, and similar environmental dangers. The suit needs a power supply to work—while deactivated, none of the following abilities function at all.</p><p>While powered, the suit provides immunity to inhaled poisons and diseases, and provides resistance 10 against all forms of energy except for sonic damage. An HEV suit completely protects against low radiation, and reduces the effects of medium radiation to low radiation, but it offers no protection against high or severe radiation. The suit's self-repairing polymer resin fabric automatically seals secondary punctures or tears created by physical attacks to the wearer and damage dealt specifically against the suit. It repairs damage at the rate of 2d6 points of damage per charge consumed. While repairing damage in this manner, the suit's other protective functions listed above are any taken offline. An HEV suit has hardness 2 and 30 hit points.</p>"
Armor	Medium	Nanite ablative armor	10000 gp	4	4	-3	20	20	15	35	24	1 charge/hour	Craft DC 30; Cost 5,000 gp, craft technological arms and armor, graviton lab	<p>This suit of armor consists of several layers of scaly mesh over a thick, clothlike polymer weave. When activated, a suit of nanite ablative armor grants the wearer additional protection against nanites, through the use of imperceptible magnetic fields that repel the microscopic robots. An active suit of nanite ablative armor grants its armor bonus (including any enhancement bonuses) to the wearer's touch AC against nanites. The wearer gains a +4 resistance bonus on saving throws made against nanite-related effects delivered through means other than touch attacks.</p>
Armor	Medium	Panic suit	2000 gp	2	2	-4	50	20	15	2	10	1 charge/hour, disposable	Craft DC 30; Cost 1,000 gp, craft technological arms and armor, military lab	<p>When not being worn, a panic suit is a fist-sized plastic sphere. When activated, it envelops the creature holding it in a full-body protective suit. While activated, it provides immunity to low radiation and resistance 5 against all forms of energy except sonic damage. Its air filters grant a +4 bonus on saving throws against inhaled poisons and diseases.</p><p>A panic suit is a single-use item. When its charges run out or its wearer deactivates it, it falls apart into useless fragments.</p>
Armor	Heavy	Smart armor (expanded form)	16500 gp	8	1	-5	35	20	15	20	60	1 charge/10 minutes	Craft DC 28; Cost 14,00 gp, craft technological arms and armor, military lab	<p>While inactive, smart armor resembles a breastplate of adamantine scales, which doesn't seem out of place among most metal armor, except for its alien aesthetics. When activated as an immediate action, smart armor expands to cover the wearer's legs and limbs, and a built-in magnetic generator hardens the armor into a rigid, plate-like form. When in this form, it uses the statistics of smart armor (expanded form). It can be collapsed back to breastplate form with a move action, and automatically retracts when it loses power. In either form, smart armor provides DR 2/— due to its adamantine construction. Smart armor is considered masterwork armor.</p>
Armor	Heavy	Spacesuit	90000 gp	7	0	-8	50	20	15	35	25	1 charge/hour	Craft DC 30; Cost 45,000 gp, craft technological arms and armor, military lab	<p>This airtight suit of synthetic polymers includes a transparent, dome-like helmet that completely covers the wearer's head. A spacesuit is nearly identical in function to an HEV suit, except that as long as the spacesuit is charged, it provides a bit more armor protection as well as complete protection from all radiation and exposure to vacuum. A spacesuit repairs damage to itself at the rate of 4d6 points of damage per charge consumed. It has hardness 6 and 60 hit points.</p><p>A space suit is fitted with numerous small booster jets that grant the wearer a fly speed of 20 ft. (poor) in areas of zero gravity while the spacesuit is charged. The boosters impart no benefit in areas of high, low, or normal gravity.</p>
Armor	Shield	Hard light shield	6400 gp	2	—	0	10	—	—	1	20	1 charge/minute	Craft DC 27; Cost 3,200 gp, craft technological arms and armor, graviton lab	<p>This bulky bracelet is covered in blinking blue lights and pulsing holographic emitters. A hard light shield produces a translucent but substantial holographic barrier when activated. The shield bonus counts as a force effect and applies to the wielder's touch AC against beam and ray attacks (but not other touch attacks). As a transparent force effect, a hard light shield provides no bonus against lasers. A hard light shield can be used to deliver shield bash attacks like a heavy shield.</p><p>When turned off, a hard light shield provides no AC bonus and imposes no spell failure chance. Activating or deactivating a hard light shield is a move action. This item occupies the wearer's wrist slot.</p>
